fixed acidity,volatile acidity,residual sugar,chlorides,free sulfur dioxide,sulphates,alcohol,type_binary,quality_binary
7.3,0.17,8.1,0.121,32.0,0.38,10.4,1,1
7.0,0.15,2.2,0.047,33.0,0.39,10.4,1,1
5.2,0.44,1.4,0.036,43.0,0.33,12.1,1,1
6.0,0.26,5.2,0.027,70.0,0.4,12.3,1,1
6.6,0.16,1.1,0.031,27.0,0.34,13.2,1,1
6.1,0.31,8.4,0.031,70.0,0.4,11.7,1,1
10.7,0.35,2.6,0.07,5.0,0.65,11.0,0,1
5.8,0.28,2.2,0.037,24.0,0.33,12.8,1,1
7.1,0.26,5.5,0.025,31.0,0.33,12.6,1,1
5.3,0.3,4.2,0.029,37.0,0.36,11.8,1,1
6.5,0.26,3.6,0.03,36.0,0.62,12.6,1,1
6.6,0.21,2.2,0.026,40.0,0.4,11.1,1,1
6.8,0.53,3.8,0.034,26.0,0.57,12.7,1,1
6.6,0.23,4.6,0.06,29.0,0.49,12.2,1,1
3.9,0.225,4.2,0.03,29.0,0.36,12.8,1,1
7.1,0.32,14.5,0.039,46.0,0.5,12.5,1,1
6.1,0.31,5.0,0.039,36.0,0.6,12.3,1,1
7.0,0.24,2.8,0.034,22.0,0.38,12.6,1,1
5.8,0.32,4.3,0.032,46.0,0.57,13.0,1,1
7.3,0.41,1.8,0.032,26.0,0.35,13.0,1,1
7.0,0.17,12.8,0.045,24.0,0.38,12.2,1,1
7.0,0.22,9.2,0.027,37.0,0.34,12.5,1,1
9.1,0.4,1.8,0.071,7.0,0.69,12.5,0,1
5.4,0.46,2.1,0.026,29.0,0.77,13.4,1,1
7.8,0.57,2.3,0.065,34.0,0.74,12.7,0,1
6.8,0.24,2.0,0.044,15.0,0.64,10.4,1,1
7.3,0.19,13.9,0.057,45.0,0.41,8.8,1,1
6.2,0.22,6.0,0.029,31.0,0.36,11.3,1,1
7.6,0.2,14.2,0.056,53.0,0.46,8.9,1,1
7.1,0.28,6.5,0.041,28.0,0.58,12.2,1,1
7.0,0.23,7.1,0.028,31.0,0.47,12.1,1,1
6.6,0.16,1.4,0.035,49.0,0.64,12.4,1,1
6.0,0.25,2.2,0.026,54.0,0.65,12.9,1,1
6.5,0.13,1.0,0.036,48.0,0.51,11.5,1,1
6.9,0.22,7.8,0.05,43.0,0.6,11.5,1,1
6.5,0.18,1.6,0.04,43.0,0.59,11.5,1,1
7.1,0.45,2.7,0.04,24.0,0.38,13.4,1,1
6.3,0.17,1.0,0.04,39.0,0.4,13.1,1,1
6.6,0.5,11.3,0.029,32.0,0.78,12.9,1,1
6.5,0.33,14.5,0.048,20.0,0.3,11.5,1,1
6.9,0.25,9.05,0.039,37.0,0.34,11.3,1,1
6.4,0.15,1.8,0.034,43.0,0.69,11.0,1,1
5.0,0.29,5.7,0.035,54.0,0.34,12.9,1,1
5.4,0.53,2.7,0.036,34.0,0.53,13.2,1,1
8.1,0.17,14.1,0.053,43.0,0.75,8.8,1,1
5.7,0.15,11.4,0.035,49.0,0.34,10.5,1,1
6.5,0.3,4.0,0.038,37.0,0.6,12.6,1,1
6.2,0.37,6.1,0.032,19.0,0.26,13.4,1,1
5.4,0.45,6.4,0.033,20.0,0.27,13.4,1,1
6.7,0.28,7.4,0.041,7.0,0.47,11.4,1,1
7.8,0.21,1.8,0.034,62.0,0.75,12.6,1,1
7.8,0.29,7.0,0.042,38.0,0.37,11.2,1,1
7.3,0.23,1.9,0.041,51.0,0.4,12.2,1,1
7.3,0.39,1.1,0.043,36.0,0.48,12.7,1,1
6.8,0.35,2.4,0.048,35.0,0.46,12.0,1,1
5.0,0.55,8.3,0.032,35.0,0.51,12.5,1,1
7.9,0.54,2.5,0.076,8.0,0.72,13.1,0,1
6.4,0.32,4.8,0.03,34.0,0.6,12.5,1,1
6.2,0.24,13.3,0.039,49.0,0.46,11.0,1,1
7.4,0.4,5.4,0.044,31.0,0.5,11.1,1,1
7.1,0.26,2.2,0.044,29.0,0.64,10.9,1,1
8.2,0.22,6.8,0.034,12.0,0.38,10.5,1,1
6.9,0.3,4.1,0.035,26.0,0.79,12.3,1,1
6.5,0.36,3.2,0.037,29.0,0.65,12.4,1,1
10.0,0.26,1.9,0.083,42.0,0.63,11.8,0,1
5.9,0.27,11.4,0.036,31.0,0.48,10.5,1,1
8.0,0.44,9.1,0.031,46.0,0.27,12.7,1,1
8.0,0.34,9.0,0.033,39.0,0.38,12.3,1,1
7.7,0.35,8.65,0.033,42.0,0.38,12.4,1,1
5.2,0.24,3.8,0.027,21.0,0.49,11.2,1,1
6.5,0.43,3.6,0.046,19.0,0.34,12.0,1,1
7.9,0.28,2.0,0.044,50.0,0.49,10.7,1,1
7.0,0.53,6.1,0.029,6.0,0.5,12.5,1,1
7.3,0.21,1.6,0.034,29.0,0.5,11.0,1,1
5.5,0.34,2.2,0.021,31.0,0.49,13.0,1,1
10.3,0.32,6.4,0.073,5.0,0.82,12.6,0,1
7.1,0.25,2.1,0.036,30.0,0.43,12.2,1,1
7.2,0.38,2.0,0.056,15.0,0.76,11.3,0,1
7.3,0.25,2.1,0.034,30.0,0.4,11.9,1,1
5.8,0.21,1.6,0.045,38.0,0.94,12.4,1,1
6.8,0.19,7.05,0.019,54.0,0.37,11.1,1,1
12.6,0.31,2.2,0.072,6.0,0.82,9.8,0,1
7.0,0.36,10.5,0.045,35.0,0.33,11.6,1,1
6.7,0.23,2.1,0.046,30.0,0.64,10.7,1,1
6.2,0.66,1.2,0.029,29.0,0.39,12.8,1,1
7.4,0.36,1.8,0.074,17.0,0.7,11.4,0,1
8.1,0.27,1.7,0.03,38.0,0.63,10.4,1,1
8.0,0.13,1.1,0.033,15.0,0.39,11.2,1,1
7.5,0.42,4.3,0.04,34.0,0.45,12.8,1,1
5.6,0.85,1.4,0.045,12.0,0.82,12.9,0,1
7.1,0.47,14.8,0.024,22.0,0.48,12.0,1,1
7.3,0.3,2.7,0.044,34.0,0.53,12.8,1,1
6.8,0.26,1.7,0.049,41.0,0.48,10.5,1,1
7.9,0.35,3.6,0.078,15.0,0.86,12.8,0,1
6.4,0.22,7.2,0.028,15.0,0.55,10.9,1,1
6.5,0.35,0.8,0.034,32.0,0.5,12.1,1,1
7.8,0.18,12.6,0.042,41.0,0.76,8.5,1,1
6.8,0.22,6.9,0.037,33.0,0.39,11.9,1,1
5.2,0.285,5.15,0.035,64.0,0.34,12.4,1,1
5.5,0.15,14.0,0.031,16.0,0.38,11.5,1,1
7.0,0.36,10.05,0.045,37.0,0.33,11.7,1,1
6.8,0.28,7.6,0.03,30.0,0.59,12.5,1,1
11.3,0.62,5.2,0.086,6.0,0.69,13.4,0,1
5.6,0.21,1.3,0.041,81.0,0.95,11.6,1,1
6.9,0.21,2.4,0.056,49.0,0.47,8.8,1,1
6.0,0.18,1.4,0.036,14.0,0.58,11.1,1,1
4.9,0.33,1.2,0.016,39.0,0.59,14.0,1,1
5.8,0.17,1.8,0.045,96.0,0.9,11.8,1,1
5.2,0.155,1.6,0.028,13.0,0.84,11.9,1,1
5.8,0.315,1.55,0.026,15.0,0.4,11.9,1,1
6.9,0.12,2.2,0.037,18.0,0.82,11.9,1,1
7.0,0.12,10.3,0.039,41.0,0.38,9.8,1,1
6.6,0.29,3.9,0.027,39.0,0.6,12.6,1,1
6.5,0.44,5.45,0.014,44.0,0.32,13.0,1,1
5.6,0.49,4.5,0.039,17.0,0.9,13.7,1,1
6.2,0.36,3.2,0.032,13.0,0.69,12.6,1,1
7.4,0.19,9.3,0.03,26.0,0.32,11.0,1,1
6.8,0.27,1.2,0.044,35.0,0.48,12.1,1,1
5.8,0.61,8.4,0.041,31.0,0.72,14.05,1,1
11.6,0.53,3.65,0.121,6.0,0.74,11.5,0,1
6.7,0.25,2.9,0.057,52.0,0.48,9.5,1,1
6.8,0.36,4.6,0.039,24.0,0.34,12.6,1,1
7.3,0.18,1.2,0.044,12.0,0.48,11.3,1,1
9.2,0.18,1.5,0.041,39.0,0.49,9.8,1,1
5.7,0.43,5.7,0.039,24.0,0.61,12.3,1,1
6.9,0.38,8.5,0.044,36.0,0.35,12.0,1,1
7.3,0.22,9.4,0.034,29.0,0.32,11.0,1,1
8.1,0.3,8.1,0.037,26.0,0.3,11.2,1,1
7.5,0.23,7.7,0.049,61.0,0.3,11.1,1,1
5.2,0.5,2.0,0.036,23.0,0.77,13.4,1,1
6.9,0.28,1.6,0.047,46.0,0.38,11.1,1,1
6.6,0.35,2.7,0.045,19.0,0.48,13.0,1,1
7.3,0.21,1.8,0.038,44.0,0.44,12.6,1,1
7.7,0.17,5.9,0.017,21.0,0.4,11.9,1,1
6.5,0.36,2.9,0.03,16.0,0.49,12.1,1,1
7.6,0.29,9.6,0.03,45.0,0.38,12.3,1,1
7.6,0.14,1.6,0.04,27.0,0.4,10.8,1,1
5.4,0.415,1.6,0.039,27.0,0.41,10.0,1,1
6.1,0.35,2.3,0.034,25.0,0.59,12.0,1,1
5.6,0.22,1.2,0.024,29.0,0.46,13.05,1,1
8.2,0.18,1.1,0.033,28.0,0.68,10.4,1,1
5.7,0.22,1.3,0.027,26.0,0.38,12.5,1,1
4.8,0.13,1.2,0.042,40.0,0.64,11.8,1,1
7.0,0.23,1.4,0.036,31.0,0.48,10.8,1,1
5.6,0.26,10.6,0.03,27.0,0.34,10.7,1,1
5.6,0.18,10.2,0.028,28.0,0.42,10.8,1,1
7.9,0.42,8.2,0.056,32.0,0.6,11.2,1,1
6.9,0.22,9.3,0.04,22.0,0.54,10.7,1,1
9.8,0.66,3.2,0.083,21.0,0.71,11.5,0,1
6.9,0.48,3.5,0.03,31.0,0.38,12.2,1,1
6.5,0.18,8.0,0.051,16.0,0.44,8.7,1,1
7.6,0.52,14.0,0.034,37.0,0.38,11.8,1,1
6.5,0.16,1.0,0.027,23.0,0.39,11.4,1,1
7.3,0.25,13.1,0.05,35.0,0.46,8.9,1,1
7.1,0.25,3.0,0.03,30.0,0.39,12.3,1,1
7.7,0.24,15.3,0.044,39.0,0.47,9.6,1,1
6.7,0.15,5.0,0.058,28.0,0.44,10.2,1,1
6.2,0.2,9.7,0.03,39.0,0.56,12.9,1,1
6.9,0.19,1.6,0.039,27.0,0.46,12.3,1,1
6.9,0.3,7.6,0.057,25.0,0.63,11.0,1,1
7.3,0.65,1.2,0.065,15.0,0.47,10.0,0,1
6.9,0.24,1.3,0.032,35.0,0.57,10.7,1,1
6.1,0.25,1.2,0.036,42.0,0.56,10.8,1,1
6.9,0.35,2.4,0.048,25.0,0.54,11.1,1,1
5.8,0.19,4.2,0.038,49.0,0.42,11.3,1,1
6.2,0.3,2.5,0.041,29.0,0.61,11.8,1,1
6.4,0.33,4.0,0.04,24.0,0.64,12.6,1,1
8.2,0.15,2.7,0.052,24.0,0.45,10.9,1,1
7.6,0.2,2.6,0.044,30.0,0.44,10.8,1,1
5.4,0.22,6.5,0.029,26.0,0.44,12.5,1,1
5.8,0.23,3.5,0.044,35.0,0.37,12.1,1,1
5.6,0.255,10.7,0.056,66.0,0.61,10.4,1,1
5.2,0.2,3.2,0.047,16.0,0.53,10.1,1,1
5.7,0.28,1.8,0.041,38.0,0.98,11.9,1,1
5.9,0.22,4.2,0.037,69.0,0.74,10.8,1,1
7.3,0.26,17.85,0.049,41.5,0.44,9.1,1,1
7.2,0.25,14.4,0.055,55.0,0.38,9.0,1,1
6.7,0.21,1.5,0.035,45.0,0.36,12.6,1,1
6.6,0.22,1.4,0.05,23.0,0.48,12.0,1,1
7.0,0.35,6.5,0.028,27.0,0.42,11.4,1,1
6.4,0.17,1.5,0.037,20.0,0.42,11.0,1,1
12.8,0.615,5.8,0.083,7.0,0.73,10.0,0,1
6.5,0.4,3.5,0.046,22.0,0.31,12.0,1,1
6.0,0.13,1.6,0.052,23.0,0.5,11.5,1,1
11.9,0.43,3.1,0.109,10.0,0.85,10.4,0,1
6.3,0.34,6.0,0.02,18.0,0.29,13.4,1,1
7.7,0.43,4.5,0.046,33.0,0.56,12.2,1,1
6.8,0.18,5.4,0.054,53.0,0.54,11.0,1,1
7.4,0.16,13.7,0.056,33.0,0.44,8.7,1,1
10.5,0.42,2.95,0.116,12.0,0.75,11.7,0,1
7.1,0.13,15.5,0.064,56.0,0.41,9.7,1,1
7.4,0.23,1.4,0.049,43.0,0.54,10.2,1,1
6.7,0.16,2.5,0.046,40.0,0.51,11.4,1,1
5.8,0.24,1.4,0.038,40.0,0.29,13.9,1,1
6.6,0.2,7.9,0.052,30.0,0.56,11.0,1,1
6.0,0.31,2.3,0.042,19.0,0.41,12.7,1,1
7.9,0.18,1.2,0.033,20.0,0.38,10.5,1,1
7.1,0.34,1.5,0.027,26.0,0.33,12.2,1,1
7.1,0.23,2.6,0.034,62.0,0.56,11.3,1,1
7.0,0.11,4.6,0.057,59.0,0.44,9.4,1,1
11.9,0.695,3.4,0.128,7.0,0.84,12.2,0,1
8.0,0.14,1.5,0.035,42.0,0.4,10.6,1,1
7.8,0.26,3.2,0.027,28.0,0.32,11.3,1,1
8.1,0.2,11.8,0.048,46.0,0.46,10.0,1,1
5.8,0.19,4.9,0.04,44.0,0.38,9.5,1,1
7.9,0.65,2.5,0.078,17.0,0.74,11.7,0,1
9.0,0.17,1.0,0.039,46.0,0.51,10.5,1,1
6.2,0.3,1.7,0.032,30.0,0.41,11.2,1,1
5.6,0.41,1.9,0.034,10.0,0.5,13.5,1,1
8.4,0.24,7.4,0.039,46.0,0.33,11.9,1,1
6.3,0.29,3.3,0.037,32.0,0.36,12.8,1,1
5.8,0.3,4.9,0.039,22.0,0.58,13.1,1,1
7.1,0.27,10.4,0.041,26.0,0.52,11.5,1,1
7.4,0.16,1.2,0.042,47.0,0.68,10.5,1,1
8.6,0.18,1.1,0.04,20.0,0.32,10.2,1,1
6.0,0.29,2.3,0.044,20.0,0.41,12.7,1,1
8.1,0.3,12.3,0.049,50.0,0.57,10.2,1,1
6.6,0.815,2.7,0.072,17.0,0.89,12.3,0,1
6.7,0.21,1.4,0.047,30.0,0.42,10.8,1,1
5.2,0.31,2.4,0.027,27.0,0.45,13.0,1,1
7.6,0.31,3.95,0.044,27.0,0.67,12.8,1,1
7.8,0.21,1.2,0.036,20.0,0.28,12.1,1,1
7.5,0.24,9.4,0.048,50.0,0.59,10.5,1,1
12.5,0.28,2.3,0.082,12.0,1.36,9.8,0,1
6.7,0.34,1.9,0.038,58.0,0.47,12.2,1,1
7.3,0.19,15.55,0.058,50.0,0.36,9.1,1,1
6.5,0.22,1.6,0.039,36.0,0.57,11.0,1,1
7.4,0.19,6.7,0.037,15.0,0.38,11.0,1,1
7.4,0.13,4.7,0.042,36.0,0.56,10.3,1,1
6.3,0.41,7.3,0.035,23.0,0.39,11.94,1,1
6.7,0.41,5.4,0.035,33.0,0.44,12.89333333,1,1
6.1,0.44,4.25,0.032,43.0,0.47,11.3,1,1
5.7,0.25,12.2,0.041,43.0,0.53,10.4,1,1
6.9,0.23,2.7,0.032,24.0,0.38,12.4,1,1
7.0,0.24,1.5,0.052,51.0,0.59,10.4,1,1
7.0,0.17,1.5,0.028,26.0,0.46,10.8,1,1
7.4,0.25,6.9,0.02,14.0,0.48,10.7,1,1
8.6,0.2,1.5,0.041,35.0,0.49,11.4,1,1
7.3,0.22,14.75,0.042,44.5,0.41,9.1,1,1
6.9,0.25,5.2,0.024,36.0,0.72,10.7,1,1
6.4,0.105,1.1,0.035,44.0,0.55,10.7,1,1
6.0,0.2,1.1,0.039,45.0,0.45,11.6,1,1
6.6,0.25,7.4,0.043,29.0,0.6,10.2,1,1
8.0,0.59,1.8,0.065,3.0,0.92,10.5,0,1
7.9,0.46,4.1,0.033,40.0,0.44,12.8,1,1
6.4,0.31,5.8,0.038,42.0,0.53,11.9,1,1
6.3,0.32,11.1,0.039,29.0,0.5,9.4,1,1
5.1,0.26,1.1,0.027,46.0,0.43,11.4,1,1
6.2,0.76,3.2,0.041,18.0,0.94,13.7,1,1
5.4,0.835,1.2,0.046,13.0,0.85,13.0,0,1
9.6,0.32,1.4,0.056,9.0,0.82,10.3,0,1
7.7,0.16,1.7,0.048,60.0,0.66,11.2,1,1
6.9,0.25,2.4,0.038,28.0,0.36,11.7,1,1
12.8,0.3,2.6,0.095,9.0,0.77,10.8,0,1
5.2,0.21,1.7,0.048,17.0,0.37,12.0,1,1
6.6,0.19,1.2,0.052,34.0,0.42,9.4,1,1
11.0,0.3,2.1,0.054,7.0,0.88,10.5,0,1
6.6,0.22,1.2,0.059,45.0,0.55,10.3,1,1
6.9,0.24,1.3,0.063,18.0,0.48,10.4,1,1
5.9,0.4,6.0,0.034,50.0,0.58,12.5,1,1
7.2,0.23,2.3,0.033,29.0,0.54,12.3,1,1
5.3,0.4,3.9,0.031,45.0,0.58,11.75,1,1
5.9,0.48,1.5,0.037,19.0,0.42,11.9,1,1
7.9,0.41,4.5,0.03,40.0,0.54,12.4,1,1
7.9,0.44,5.85,0.033,27.0,0.54,12.6,1,1
6.0,0.38,3.5,0.035,38.0,0.47,13.6,1,1
6.5,0.28,4.6,0.054,22.0,0.46,12.0,1,1
6.0,0.32,9.9,0.032,22.0,0.43,12.1,1,1
5.1,0.25,1.3,0.035,40.0,0.64,12.1,1,1
8.2,0.29,9.1,0.036,28.0,0.4,10.9,1,1
8.0,0.37,1.6,0.04,32.0,0.55,11.3,1,1
7.2,0.37,2.0,0.029,27.0,0.59,12.6,1,1
5.5,0.32,4.9,0.028,25.0,0.49,11.5,1,1
6.2,0.21,5.7,0.028,45.0,1.08,12.15,1,1
6.2,0.41,1.9,0.023,5.0,0.79,13.0,1,1
5.8,0.29,2.6,0.025,12.0,0.79,14.0,1,1
8.4,0.17,6.7,0.038,29.0,0.32,10.6,1,1
5.9,0.37,1.5,0.033,35.0,0.56,12.0,1,1
5.5,0.29,1.1,0.022,20.0,0.38,12.8,1,1
6.4,0.4,3.2,0.033,28.0,0.54,12.7,1,1
7.0,0.17,4.0,0.034,17.0,0.39,10.6,1,1
8.5,0.28,1.8,0.092,35.0,0.75,10.5,0,1
6.8,0.15,4.7,0.059,31.0,0.39,9.0,1,1
7.8,0.58,2.0,0.073,9.0,0.57,9.5,0,1
6.1,0.29,1.7,0.024,13.0,0.51,12.6,1,1
8.8,0.33,6.35,0.024,9.0,0.4,12.6,1,1
7.5,0.19,2.6,0.037,33.0,0.49,11.1,1,1
6.2,0.38,2.5,0.038,34.0,0.59,11.6,1,1
8.1,0.38,2.1,0.066,13.0,0.73,9.7,0,1
8.0,0.26,2.0,0.054,30.0,0.72,11.6,1,1
6.1,0.32,6.6,0.021,29.0,0.36,11.45,1,1
7.5,0.52,1.9,0.085,12.0,0.62,9.5,0,1
6.6,0.25,1.45,0.04,40.0,0.4,11.4,1,1
6.5,0.115,1.95,0.038,73.0,0.25,12.9,1,1
6.4,0.125,5.85,0.042,24.0,0.32,12.0,1,1
7.9,0.25,5.3,0.031,33.0,0.32,11.8,1,1
6.2,0.36,4.0,0.036,44.0,0.5,13.3,1,1
7.2,0.21,1.6,0.049,23.0,0.48,10.9,1,1
7.1,0.15,5.3,0.034,33.0,0.52,9.3,1,1
4.4,0.54,5.1,0.038,52.0,0.4,12.2,1,1
6.8,0.34,8.9,0.029,44.0,0.35,11.95,1,1
7.1,0.44,2.7,0.041,35.0,0.43,13.5,1,1
7.4,0.18,2.1,0.036,33.0,0.41,10.6,1,1
7.5,0.305,1.4,0.047,30.0,0.52,11.5,1,1
7.7,0.27,3.5,0.358,5.0,1.08,9.9,0,1
7.9,0.16,17.0,0.05,69.0,0.51,9.3,1,1
5.0,0.24,1.1,0.034,49.0,0.32,13.1,1,1
8.0,0.42,5.0,0.037,34.0,0.57,12.3,1,1
5.9,0.18,1.0,0.037,24.0,0.55,10.65,1,1
5.8,0.26,1.0,0.042,35.0,0.48,11.4,1,1
5.7,0.39,4.9,0.033,49.0,0.58,13.1,1,1
6.3,0.36,2.5,0.035,18.0,0.47,12.8,1,1
6.1,0.16,6.1,0.034,31.0,0.58,10.13333333,1,1
6.0,0.29,10.8,0.048,55.0,0.59,10.96666667,1,1
8.9,0.4,5.6,0.087,10.0,0.77,10.5,0,1
6.5,0.08,1.9,0.028,23.0,0.7,12.0,1,1
7.7,0.32,2.3,0.04,28.0,0.52,12.8,1,1
5.5,0.42,1.6,0.019,18.0,0.51,11.4,1,1
6.0,0.29,10.8,0.048,55.0,0.59,11.0,1,1
6.6,0.2,1.1,0.039,25.0,0.54,10.2,1,1
6.6,0.23,0.9,0.041,25.0,0.54,10.2,1,1
5.7,0.24,1.3,0.03,25.0,0.43,12.4,1,1
8.7,0.52,2.5,0.091,20.0,0.86,10.6,0,1
7.0,0.46,6.2,0.039,46.0,0.35,12.2,1,1
8.2,0.35,6.3,0.039,35.0,0.34,11.9,1,1
8.0,0.57,3.9,0.034,22.0,0.67,12.8,1,1
6.5,0.37,3.9,0.027,40.0,0.39,12.7,1,1
6.6,0.21,2.3,0.041,31.0,0.58,10.9,1,1
6.3,0.23,5.1,0.035,29.0,0.33,10.1,1,1
6.5,0.19,1.4,0.04,31.0,0.54,10.8,1,1
5.6,0.24,2.0,0.041,14.0,0.45,11.6,1,1
6.0,0.13,5.7,0.038,56.0,0.43,10.6,1,1
6.4,0.25,1.4,0.04,42.0,0.48,11.3,1,1
6.7,0.13,1.2,0.046,35.0,0.33,10.1,1,1
6.5,0.5,4.1,0.036,35.0,0.55,13.0,1,1
8.3,0.26,9.2,0.042,41.0,0.38,12.0,1,1
6.0,0.17,6.0,0.036,30.0,0.58,10.13333333,1,1
6.1,0.16,6.1,0.034,31.0,0.58,10.15,1,1
8.1,0.43,6.6,0.033,36.0,0.39,13.3,1,1
6.9,0.31,7.4,0.059,36.0,0.62,11.1,1,1
6.7,0.24,6.8,0.038,54.0,0.46,11.6,1,1
15.0,0.21,2.2,0.075,10.0,0.84,9.2,0,1
7.7,0.27,1.8,0.028,26.0,0.48,12.1,1,1
8.0,0.22,14.6,0.044,45.0,0.69,8.6,1,1
7.7,0.28,8.9,0.036,8.0,0.38,12.0,1,1
5.2,0.48,1.6,0.054,19.0,0.62,12.2,0,1
6.1,0.24,9.0,0.031,41.0,0.26,12.3,1,1
6.0,0.17,6.0,0.036,30.0,0.58,10.15,1,1
7.3,0.25,1.8,0.037,52.0,0.39,12.2,1,1
5.3,0.26,5.15,0.034,48.0,0.51,10.5,1,1
7.2,0.18,1.1,0.045,20.0,0.4,10.8,1,1
8.0,0.2,5.2,0.055,41.0,0.4,10.6,1,1
7.6,0.21,2.1,0.046,47.0,0.54,10.1,1,1
8.0,0.19,1.8,0.05,16.0,0.45,9.8,1,1
6.6,0.16,1.8,0.05,40.0,0.44,11.4,1,1
8.3,0.21,1.6,0.032,35.0,0.6,12.9,1,1
10.0,0.31,2.6,0.085,14.0,0.8,10.5,0,1
7.2,0.32,1.4,0.029,29.0,0.51,12.8,1,1
7.7,0.28,6.7,0.037,32.0,0.62,10.7,1,1
5.4,0.33,4.0,0.03,27.0,0.43,12.2,1,1
11.8,0.26,1.8,0.071,6.0,0.72,10.2,0,1
6.0,0.27,1.7,0.02,24.0,0.47,12.6,1,1
6.1,0.22,1.85,0.031,25.0,0.3,11.8,1,1
7.3,0.42,6.8,0.045,29.0,0.37,12.6,1,1
5.9,0.12,1.4,0.037,36.0,0.42,10.9,1,1
5.1,0.42,1.5,0.017,25.0,0.36,12.3,1,1
6.7,0.35,9.0,0.032,29.0,0.65,12.9,1,1
6.9,0.19,19.25,0.043,38.0,0.52,9.1,1,1
7.9,0.14,1.8,0.05,17.0,0.49,10.7,1,1
5.8,0.35,3.2,0.034,41.0,0.58,11.63333333,1,1
6.0,0.28,6.2,0.028,37.0,0.51,11.8,1,1
5.8,0.3,1.1,0.036,19.0,0.46,12.6,1,1
8.1,0.26,11.1,0.052,52.5,0.49,10.2,1,1
7.4,0.33,2.6,0.04,29.0,0.52,11.8,1,1
7.1,0.12,3.1,0.018,15.0,0.52,11.9,1,1
6.4,0.22,9.1,0.044,35.0,0.3,11.0,1,1
6.8,0.21,6.3,0.032,40.0,0.53,12.0,1,1
5.2,0.31,5.1,0.031,46.0,0.31,12.4,1,1
7.1,0.34,5.2,0.032,36.0,0.47,12.3,1,1
5.6,0.42,2.4,0.022,34.0,0.38,12.8,1,1
6.8,0.45,5.0,0.033,28.0,0.4,12.4,1,1
6.6,0.29,6.75,0.031,22.0,0.8,12.9,1,1
6.2,0.35,2.6,0.036,37.0,0.53,12.8,1,1
6.6,0.33,2.65,0.041,35.0,0.39,13.3,1,1
6.2,0.2,1.1,0.047,42.0,0.6,11.0,1,1
6.4,0.23,4.6,0.039,43.0,0.4,11.0,1,1
6.6,0.34,3.3,0.034,29.0,0.4,12.3,1,1
6.1,0.27,1.5,0.035,17.0,0.44,11.1,1,1
5.6,0.35,6.3,0.022,23.0,0.5,11.6,1,1
6.7,0.21,8.55,0.02,20.0,0.22,13.4,1,1
6.4,0.25,4.5,0.039,41.0,0.4,11.1,1,1
7.0,0.26,10.8,0.039,37.0,0.58,10.3,1,1
6.9,0.34,4.7,0.029,34.0,0.49,12.3,1,1
5.8,0.28,1.5,0.026,31.0,0.6,12.5,1,1
